email,assignment,due_on,submitted_at
amara.osei@example.org,Module 1,2026-09-13,2026-09-12 21:28:00
ben.ortiz@example.org,Module 1,2026-09-13,2026-09-11 11:11:00
chidi.nwosu@example.org,Module 1,2026-09-13,2026-09-11 11:52:00
dana.reyes@example.org,Module 1,2026-09-13,2026-09-14 13:01:00
eli.kaufman@example.org,Module 1,2026-09-13,2026-09-13 17:00:00
farah.haddad@example.org,Module 1,2026-09-13,2026-09-14 10:22:00
grace.lin@example.org,Module 1,2026-09-13,2026-09-13 13:44:00
hugo.marchetti@example.org,Module 1,2026-09-13,2026-09-14 14:20:00
imani.brooks@example.org,Module 1,2026-09-13,
jonas.petrov@example.org,Module 1,2026-09-13,
keiko.tanaka@example.org,Module 1,2026-09-13,
maya.rahman@example.org,Module 1,2026-09-13,
amara.osei@example.org,Module 2,2026-09-20,2026-09-20 19:58:00
ben.ortiz@example.org,Module 2,2026-09-20,2026-09-19 11:36:00
chidi.nwosu@example.org,Module 2,2026-09-20,2026-09-21 17:22:00
dana.reyes@example.org,Module 2,2026-09-20,2026-09-20 18:24:00
eli.kaufman@example.org,Module 2,2026-09-20,2026-09-20 17:47:00
farah.haddad@example.org,Module 2,2026-09-20,
grace.lin@example.org,Module 2,2026-09-20,2026-09-20 21:43:00
hugo.marchetti@example.org,Module 2,2026-09-20,
imani.brooks@example.org,Module 2,2026-09-20,2026-09-19 21:30:00
jonas.petrov@example.org,Module 2,2026-09-20,
keiko.tanaka@example.org,Module 2,2026-09-20,2026-09-19 11:11:00
luis.salazar@example.org,Module 2,2026-09-20,2026-09-19 23:07:00
maya.rahman@example.org,Module 2,2026-09-20,
noor.abadi@example.org,Module 2,2026-09-20,2026-09-19 11:12:00
amara.osei@example.org,Module 3,2026-09-27,2026-09-27 21:02:00
ben.ortiz@example.org,Module 3,2026-09-27,2026-09-27 18:13:00
chidi.nwosu@example.org,Module 3,2026-09-27,2026-09-26 12:36:00
dana.reyes@example.org,Module 3,2026-09-27,2026-09-28 21:17:00
eli.kaufman@example.org,Module 3,2026-09-27,
farah.haddad@example.org,Module 3,2026-09-27,
grace.lin@example.org,Module 3,2026-09-27,2026-09-28 20:46:00
hugo.marchetti@example.org,Module 3,2026-09-27,2026-09-28 23:13:00
imani.brooks@example.org,Module 3,2026-09-27,2026-09-27 21:09:00
jonas.petrov@example.org,Module 3,2026-09-27,2026-09-27 22:22:00
keiko.tanaka@example.org,Module 3,2026-09-27,
luis.salazar@example.org,Module 3,2026-09-27,
maya.rahman@example.org,Module 3,2026-09-27,
noor.abadi@example.org,Module 3,2026-09-27,2026-09-28 21:35:00
amara.osei@example.org,Module 4,2026-10-04,2026-10-04 13:09:00
ben.ortiz@example.org,Module 4,2026-10-04,2026-10-03 19:20:00
chidi.nwosu@example.org,Module 4,2026-10-04,2026-10-04 10:39:00
dana.reyes@example.org,Module 4,2026-10-04,2026-10-04 13:16:00
eli.kaufman@example.org,Module 4,2026-10-04,2026-10-03 12:30:00
farah.haddad@example.org,Module 4,2026-10-04,
grace.lin@example.org,Module 4,2026-10-04,
hugo.marchetti@example.org,Module 4,2026-10-04,2026-10-04 15:30:00
imani.brooks@example.org,Module 4,2026-10-04,
jonas.petrov@example.org,Module 4,2026-10-04,
keiko.tanaka@example.org,Module 4,2026-10-04,2026-10-05 23:08:00
luis.salazar@example.org,Module 4,2026-10-04,2026-10-02 13:02:00
maya.rahman@example.org,Module 4,2026-10-04,
noor.abadi@example.org,Module 4,2026-10-04,
amara.osei@example.org,Module 5,2026-10-11,2026-10-09 14:17:00
ben.ortiz@example.org,Module 5,2026-10-11,2026-10-10 23:11:00
chidi.nwosu@example.org,Module 5,2026-10-11,2026-10-10 19:16:00
dana.reyes@example.org,Module 5,2026-10-11,2026-10-10 18:31:00
eli.kaufman@example.org,Module 5,2026-10-11,2026-10-12 16:09:00
farah.haddad@example.org,Module 5,2026-10-11,2026-10-10 20:39:00
grace.lin@example.org,Module 5,2026-10-11,2026-10-10 16:05:00
hugo.marchetti@example.org,Module 5,2026-10-11,2026-10-09 11:15:00
imani.brooks@example.org,Module 5,2026-10-11,
jonas.petrov@example.org,Module 5,2026-10-11,
keiko.tanaka@example.org,Module 5,2026-10-11,2026-10-10 15:31:00
luis.salazar@example.org,Module 5,2026-10-11,2026-10-11 23:29:00
maya.rahman@example.org,Module 5,2026-10-11,
noor.abadi@example.org,Module 5,2026-10-11,
amara.osei@example.org,Module 6,2026-10-18,2026-10-16 16:00:00
ben.ortiz@example.org,Module 6,2026-10-18,2026-10-17 21:14:00
chidi.nwosu@example.org,Module 6,2026-10-18,2026-10-17 22:43:00
dana.reyes@example.org,Module 6,2026-10-18,2026-10-18 22:31:00
eli.kaufman@example.org,Module 6,2026-10-18,2026-10-18 14:11:00
farah.haddad@example.org,Module 6,2026-10-18,2026-10-18 14:35:00
grace.lin@example.org,Module 6,2026-10-18,
hugo.marchetti@example.org,Module 6,2026-10-18,2026-10-16 12:50:00
imani.brooks@example.org,Module 6,2026-10-18,2026-10-17 22:04:00
jonas.petrov@example.org,Module 6,2026-10-18,
keiko.tanaka@example.org,Module 6,2026-10-18,2026-10-17 11:15:00
luis.salazar@example.org,Module 6,2026-10-18,2026-10-17 19:08:00
maya.rahman@example.org,Module 6,2026-10-18,
noor.abadi@example.org,Module 6,2026-10-18,
