Name (Original Name),User Email,Join Time,Leave Time,Duration (Minutes),Guest
Amara Osei,amara.osei@example.org,2026-10-15 18:00:00,2026-10-15 19:02:00,62,No
Ben Ortiz,ben.ortiz@example.org,2026-10-15 18:06:00,2026-10-15 18:18:00,12,No
Chidi Nwosu,chidi.nwosu@example.org,2026-10-15 18:06:00,2026-10-15 18:53:00,47,No
Dana Reyes,dana.reyes@example.org,2026-10-15 18:01:00,2026-10-15 18:56:00,55,No
Eli Kaufman,eli.kaufman@example.org,2026-10-15 18:04:00,2026-10-15 19:06:00,62,No
Farah Haddad,farah.haddad@example.org,2026-10-15 18:06:00,2026-10-15 18:18:00,12,No
Hugo Marchetti,hugo.marchetti@example.org,2026-10-15 18:00:00,2026-10-15 18:55:00,55,No
Imani Brooks,imani.brooks@example.org,2026-10-15 18:04:00,2026-10-15 18:16:00,12,No
Jonas Petrov,jonas.petrov@example.org,2026-10-15 18:06:00,2026-10-15 18:53:00,47,No
Noor Abadi,noor.abadi@example.org,2026-10-15 18:01:00,2026-10-15 18:13:00,12,No
